-----------------------S1---------------------

Power Regression: 
389.74 x^ -0.42  (R^2 = 0.88)

-------------RESULTS----------------
Memory       Measured       Predicted
192           48.23         47.70
256           49.93         41.66
320           31.27         37.50
384           29.00         34.42
448           31.17         32.01
512           31.03         30.06
576           25.27         28.44
640           21.68         27.06
704           21.26         25.88
768           18.44         24.84
832           18.57         23.92
896           18.97         23.10
960           22.00         22.36
1024          15.71         21.69
1088          18.03         21.08
1152          16.81         20.52
1216          17.09         20.01
1280          17.80         19.53
1344          21.12         19.09
1408          15.76         18.67
1472          15.74         18.29
1536          17.22         17.92
1600          15.30         17.58
1664          18.64         17.26
1728          18.36         16.96
1792          16.09         16.67
1856          16.40         16.40
1920          15.00         16.14
1984          14.08         15.89
2048          15.04         15.65
2112          15.69         15.43
2176          16.14         15.21
2240          15.20         15.01
2304          16.45         14.81
2368          15.33         14.62
2432          15.16         14.44
2496          14.87         14.26
2560          14.25         14.09
2624          18.76         13.93
2688          17.16         13.77
2752          15.41         13.62
2816          15.65         13.47
2880          16.87         13.33
2944          14.60         13.20
3008          17.70         13.06

Session Time: 19 dk

-----------------------S7---------------------

Power Regression: 
312.37 x^ -0.38  (R^2 = 0.61)

-------------RESULTS----------------
Memory       Measured       Predicted

128           85.34         49.79
192           79.10         42.71
256           33.31         38.30
320           28.58         35.20
384           29.97         32.85
448           26.74         30.99
512           23.95         29.47
576           25.26         28.18
640           18.51         27.08
704           16.98         26.12
768           20.55         25.27
832           21.07         24.52
896           16.56         23.84
960           19.23         23.23
1024          120.16        22.67
1088          19.66         22.15
1152          16.08         21.68
1216          17.89         21.24
1280          16.67         20.83
1344          16.96         20.45
1408          18.76         20.09
1472          16.70         19.76
1536          20.21         19.44
1600          18.05         19.14
1664          16.32         18.86
1728          16.81         18.59
1792          16.29         18.34
1856          16.74         18.10
1920          15.70         17.87
1984          17.81         17.65
2048          19.27         17.44
2112          18.16         17.23
2176          17.35         17.04
2240          15.84         16.85
2304          19.54         16.68
2368          17.15         16.50
2432          16.64         16.34
2496          23.71         16.18
2560          16.50         16.02
2624          16.88         15.87
2688          17.14         15.73
2752          18.10         15.59
2816          17.32         15.46
2880          16.99         15.33
2944          16.96         15.20
3008          16.64         15.08

Session Time: 20 dk

-----------------------S8---------------------

Power Regression: 
982.87 x^ -0.17  (R^2 = 0.75)

-------------RESULTS----------------
Memory       Measured       Predicted

128           606.07         424.86
192           462.96         396.10
256           396.99         376.88
320           343.99         362.62
384           360.45         351.37
448           313.99         342.13
512           309.51         334.33
576           280.32         327.59
640           289.33         321.68
704           302.57         316.42
768           293.78         311.70
832           259.71         307.41
896           241.30         303.50
960           241.28         299.90
1024          265.64         296.57
1088          293.65         293.48
1152          296.83         290.60
1216          248.42         287.89
1280          309.53         285.35
1344          263.73         282.96
1408          280.14         280.69
1472          274.68         278.54
1536          270.69         276.50
1600          294.16         274.56
1664          268.13         272.70
1728          249.91         270.93
1792          230.40         269.23
1856          295.06         267.60
1920          250.28         266.04
1984          263.08         264.53
2048          277.32         263.09
2112          294.57         261.69
2176          270.99         260.34
2240          268.39         259.04
2304          275.79         257.78
2368          260.13         256.57
2432          281.80         255.39
2496          253.62         254.24
2560          243.67         253.13
2624          262.53         252.05
2688          266.19         251.01
2752          245.48         249.99
2816          242.81         249.00
2880          298.57         248.03
2944          278.47         247.09
3008          265.77         246.17

Session Time: 24 dk

-----------------------S9---------------------

Power Regression: 
402.16 x^ -0.27  (R^2 = 0.78)

-------------RESULTS----------------
Memory       Measured       Predicted

128           157.03        108.64
192           155.14        97.38
256           95.17         90.11
320           61.89         84.85
384           85.54         80.78
448           63.45         77.49
512           79.81         74.74
576           68.15         72.41
640           63.16         70.38
704           46.94         68.59
768           73.74         67.00
832           62.45         65.57
896           46.38         64.27
960           57.15         63.09
1024          56.45         62.00
1088          51.61         60.99
1152          53.70         60.06
1216          53.10         59.19
1280          55.21         58.38
1344          56.13         57.61
1408          52.22         56.89
1472          52.17         56.22
1536          52.10         55.57
1600          56.47         54.97
1664          51.01         54.39
1728          51.84         53.84
1792          50.84         53.31
1856          54.05         52.81
1920          50.65         52.33
1984          52.05         51.87
2048          52.83         51.42
2112          50.70         51.00
2176          49.67         50.59
2240          52.36         50.20
2304          53.67         49.82
2368          53.81         49.45
2432          54.93         49.10
2496          53.78         48.75
2560          50.88         48.42
2624          52.39         48.10
2688          54.11         47.79
2752          52.65         47.49
2816          52.47         47.19
2880          54.43         46.91
2944          51.22         46.63
3008          48.55         46.36

Session Time: 20 dk

-----------------------S10---------------------

Power Regression: 
2696.15 x^ -0.45  (R^2 = 0.92)

-------------RESULTS----------------
Memory       Measured       Predicted

320           272.26         198.37
384           230.54         182.67
448           197.63         170.36
512           167.52         160.38
576           149.08         152.06
640           158.91         144.98
704           143.17         138.86
768           113.49         133.50
832           110.88         128.75
896           102.83         124.51
960           119.51         120.68
1024          115.94         117.21
1088          108.28         114.04
1152          89.52          111.13
1216          89.92          108.44
1280          79.76          105.96
1344          91.17          103.64
1408          92.45          101.49
1472          76.75          99.47
1536          97.58          97.57
1600          86.56          95.78
1664          84.77          94.10
1728          84.68          92.51
1792          84.54          91.00
1856          82.77          89.56
1920          84.23          88.20
1984          83.69          86.90
2048          82.82          85.66
2112          87.69          84.48
2176          89.55          83.35
2240          83.05          82.26
2304          87.73          81.22
2368          82.52          80.22
2432          71.53          79.26
2496          85.65          78.33
2560          75.77          77.44
2624          96.13          76.58
2688          92.87          75.75
2752          82.50          74.95
2816          82.34          74.17
2880          91.84          73.42
2944          80.76          72.69
3008          79.54          71.99

Session Time: 24 dk

-----------------------S11---------------------

Power Regression: 
34475.60 x^ -0.60  (R^2 = 0.96)

-------------RESULTS----------------
Memory       Measured       Predicted

384           969.92         963.93
448           1011.42        878.62
512           894.24         810.85
576           823.80         755.43
640           759.30         709.07
704           691.76         669.59
768           633.60         635.46
832           576.01         605.61
896           563.08         579.23
960           519.43         555.70
1024          503.68         534.55
1088          504.31         515.42
1152          481.99         498.01
1216          434.97         482.09
1280          417.95         467.45
1344          426.11         453.94
1408          412.64         441.42
1472          400.54         429.78
1536          374.38         418.93
1600          359.42         408.77
1664          371.51         399.25
1728          362.81         390.29
1792          358.76         381.85
1856          352.98         373.88
1920          340.84         366.34
1984          348.89         359.19
2048          350.55         352.40
2112          346.77         345.94
2176          343.64         339.79
2240          325.89         333.92
2304          337.50         328.31
2368          333.93         322.95
2432          306.66         317.81
2496          311.75         312.89
2560          327.53         308.17
2624          324.55         303.63
2688          311.33         299.26
2752          305.16         295.06
2816          294.02         291.01
2880          316.23         287.10
2944          327.60         283.33
3008          314.68         279.69

Session Time: 27 dk

-----------------------S12---------------------

Power Regression: 
364.46 x^ -0.27  (R^2 = 0.82)

-------------RESULTS----------------
Memory       Measured       Predicted

128           130.75        98.83
192           131.47        88.62
256           77.66         82.02
320           83.55         77.25
384           76.15         73.55
448           64.40         70.56
512           66.69         68.07
576           57.13         65.95
640           62.28         64.11
704           54.99         62.49
768           49.38         61.04
832           49.70         59.74
896           54.85         58.56
960           55.96         57.49
1024          47.23         56.50
1088          48.65         55.58
1152          45.21         54.73
1216          47.97         53.94
1280          45.35         53.21
1344          47.05         52.51
1408          47.42         51.86
1472          45.36         51.24
1536          51.72         50.66
1600          45.35         50.11
1664          47.70         49.58
1728          50.38         49.08
1792          47.91         48.60
1856          44.81         48.15
1920          46.15         47.71
1984          45.11         47.29
2048          46.64         46.89
2112          51.30         46.50
2176          43.93         46.13
2240          64.63         45.77
2304          43.86         45.43
2368          50.29         45.09
2432          48.10         44.77
2496          47.53         44.46
2560          51.73         44.16
2624          43.89         43.86
2688          47.90         43.58
2752          45.89         43.31
2816          44.65         43.04
2880          50.77         42.78
2944          44.57         42.53
3008          51.05         42.28

Session Time: 20 dk

-----------------------S13---------------------

Power Regression: 
309.72 x^ -0.18  (R^2 = 0.64)

-------------RESULTS----------------
Memory       Measured       Predicted

128           197.10        127.90
192           166.56        118.79
256           112.05        112.72
320           83.35         108.23
384           124.26        104.69
448           91.03         101.79
512           95.11         99.34
576           79.78         97.23
640           70.22         95.39
704           89.71         93.74
768           77.87         92.27
832           83.34         90.93
896           78.01         89.71
960           79.68         88.59
1024          80.19         87.55
1088          69.59         86.59
1152          80.00         85.69
1216          84.81         84.85
1280          79.03         84.06
1344          81.33         83.32
1408          79.95         82.62
1472          81.64         81.95
1536          77.18         81.32
1600          94.83         80.71
1664          84.26         80.14
1728          77.43         79.59
1792          76.58         79.06
1856          75.34         78.56
1920          72.06         78.08
1984          78.38         77.61
2048          73.37         77.16
2112          73.06         76.73
2176          79.69         76.31
2240          71.24         75.91
2304          84.60         75.52
2368          76.14         75.15
2432          74.93         74.78
2496          77.77         74.43
2560          83.23         74.09
2624          83.68         73.75
2688          80.62         73.43
2752          80.91         73.12
2816          76.76         72.81
2880          79.76         72.51
2944          78.55         72.22
3008          83.84         71.94

Session Time: 20 dk

-----------------------S14---------------------

Power Regression: 
365.30 x^ -0.35  (R^2 = 0.750)

-------------RESULTS----------------
Memory       Measured       Predicted

128           89.10         68.42
192           91.94         59.49
256           60.27         53.86
320           55.10         49.87
384           49.91         46.83
448           38.22         44.40
512           37.38         42.40
576           34.38         40.71
640           34.19         39.26
704           31.84         37.99
768           27.69         36.86
832           31.11         35.86
896           27.26         34.95
960           27.56         34.13
1024          43.90         33.38
1088          29.73         32.69
1152          28.98         32.05
1216          24.90         31.45
1280          26.49         30.90
1344          28.09         30.39
1408          30.63         29.90
1472          25.38         29.45
1536          28.55         29.02
1600          27.78         28.61
1664          24.27         28.23
1728          26.12         27.86
1792          24.28         27.51
1856          27.01         27.18
1920          25.73         26.87
1984          26.27         26.56
2048          26.50         26.27
2112          30.57         26.00
2176          26.85         25.73
2240          28.09         25.47
2304          25.12         25.23
2368          26.79         24.99
2432          24.90         24.76
2496          24.55         24.54
2560          25.03         24.33
2624          28.28         24.12
2688          30.99         23.92
2752          26.84         23.73
2816          25.20         23.54
2880          28.24         23.36
2944          25.04         23.18
3008          27.37         23.01

Session Time: 21 dk

-----------------------S15---------------------

Power Regression: 
5373.57 x^ -0.49  (R^2 = 0.83)

-------------RESULTS----------------
Memory       Measured       Predicted

320           372.68         326.16
384           381.04         298.52
448           304.17         276.98
512           308.03         259.59
576           269.47         245.15
640           239.66         232.92
704           215.01         222.39
768           209.33         213.18
832           198.95         205.05
896           193.14         197.80
960           159.46         191.28
1024          164.25         185.38
1088          169.96         180.00
1152          151.88         175.07
1216          164.89         170.54
1280          144.21         166.34
1344          145.54         162.44
1408          136.53         158.81
1472          126.70         155.42
1536          151.49         152.24
1600          138.96         149.25
1664          123.60         146.44
1728          125.10         143.78
1792          131.09         141.26
1856          128.27         138.87
1920          122.94         136.60
1984          118.71         134.44
2048          119.79         132.39
2112          135.55         130.42
2176          116.54         128.55
2240          121.89         126.75
2304          110.50         125.03
2368          127.32         123.37
2432          114.30         121.79
2496          122.33         120.26
2560          126.90         118.79
2624          114.27         117.37
2688          127.19         116.01
2752          108.57         114.69
2816          126.14         113.41
2880          120.03         112.18
2944          133.14         110.99
3008          277.19         109.84

Session Time: 24 dk
